"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Lobpul","Lobaria_pulmonaria",0.08,-0.07,5.69,13.59,5.09,12.47,17.8,23.18,4.3,-16.77,-5.91,5,11.18,11.3,22.8,33.78,10.74,561.75,1108.67,2610.62,579.3,174.21,455,733.8,166.61,5.93,14.66,25.27,7.3,18.11,40.67,109.37,15.41,86.43,132,235.55,52.5,9,196,624.6,237.38,-44.05,-32.42,-13.41,13.49,28.24,35.19,39.48,4.41,353.15,651,1151.18,227.92,0,118.39,462.43,139.62,56,64,77.93,8.93,42.58,63,77.76,10.21,11.42,17.17,23.2,4.67
"Lobque","Lobaria_quercizans",0.02,3,6.2,14.76,5.2,16.87,19.42,24.98,2.59,-13.51,-7.25,4.13,8.41,19.35,26.49,31.94,6.43,761,1099.5,1546.45,399.38,381.57,488,654.79,81.25,11.26,16.44,21.84,5.51,30.05,40.35,51.05,7.87,112,134,201.35,35.17,6,167,398.81,209.5,-39.97,-32.93,-22.27,8.93,33.3,36.2,39.34,2.3,569,701,1200.3,223.75,11.98,114,240.95,93.92,57,62,70,5.25,55,62.42,70,5.67,16.31,18.98,25.24,2.74
"Lobrav","Lobaria_ravenelii",0,14.34,19.44,22.09,3.32,22.12,27.51,28.19,1.02,3.96,10.2,15.34,5.14,11.5,17.55,21.52,3.8,1158.65,1363.5,1644.8,241.25,499.55,682.25,876.3,194,15.31,20.95,25.25,4.86,31,39.1,53.02,10.38,187.35,276,322.9,66.5,0,0.25,6.7,1,-23.42,-14.85,-6.45,6.8,36.47,39.98,41.14,1.42,1131.45,1433.5,1565.12,164.86,69.4,237,417.1,158.5,58.09,62.75,69.9,4.17,57.55,67,75.17,4,21.83,29.46,30.93,1.88
"Lobret","Lobaria_retigera",0,-9.4,3.93,5.75,3,9,13.3,14.7,2.1,-24.9,-5.05,-1.5,4.6,14.2,18.47,35.5,5.06,274,1625.67,2462,1413.86,145,478,856,297,1.5,7.3,15.7,3.48,15,27.1,65.5,21.2,65,129,157,50,139,423,852,411.14,-53.3,-32.2,-25.3,9.7,24,30.1,32.37,1.9,143,431,496,82,0,38,154,75,65,73,77,6,56,69.5,82,11,8.12,12.62,13.71,2.28
"Lobscr","Lobaria_scrobiculata",0.03,-5.78,5.1,11.4,5.85,10.91,15.7,19.56,4.15,-23.38,-5.45,6.14,12.54,10.81,21.9,36.78,13.18,399.1,1152,3234.3,1077.81,139.15,400,954.95,224,3.72,12.27,27.89,7.54,13.34,39.7,120.1,23.65,82.1,128,243.35,53.35,22,242,732.1,228.7,-48.99,-32.1,-11.95,16.95,26.01,32.6,39.1,6,223.2,528,936.78,307.25,0,87,482.4,149.8,57.61,68,78,9.08,47.05,67,78.95,12.68,9.96,15.08,19.25,4.46
"Lpcalb","Leptochidium_albociliatum",0,3.07,9.95,15.87,5.99,15.06,20.27,24.9,4.55,-7.1,0.73,10.43,7.85,11.18,18.9,24.22,5.07,263.43,652.17,1723.12,481.44,27.9,110,337,129.28,11.13,31.3,77.5,27.33,40.29,187.3,897.09,267.14,75.85,162.5,320.7,101.12,1.85,40.83,483.53,112.38,-37.91,-23.95,-5.63,14.63,33.74,39.4,44.06,4.29,574.8,987.25,1343.99,305.17,194.9,645.33,983.01,306.12,51.48,58.5,67.3,7,26.93,46,63.45,12,13.25,19.5,24.77,4.94
"Melalb","Melanelixia_albertana",0,-1.49,3.67,9.7,1.74,13.15,19.18,21.76,3.33,-20.52,-13.38,1.53,5.4,16.91,32.8,35.63,7.97,376.7,618.67,994.45,209.67,160.45,374.5,480.5,152,15.04,22.1,41.14,7.41,36.32,46.4,130.48,13.67,65.7,122.25,189.65,15.57,49.56,100,276.8,47.62,-46.4,-41.09,-20.14,3.92,31.02,37.75,41.81,4.23,377.75,669.1,844.6,77.75,77.2,160.79,558.15,134.94,52.2,57,65.9,2.64,39,60,65.3,3.75,11.74,18.7,21.19,3.62
"Melele","Melanohalea_elegantula",0.13,-8.9,6.1,12.02,5.21,9.3,18,23.3,5.5,-26.21,-4.52,4.59,5.48,16.33,22.2,36.76,4.04,217.1,531.5,1271,359.5,58.15,203.5,377.1,146.5,2.78,28.58,74.06,24.99,36.03,86.25,363.35,86.86,47.58,112,205.07,58.25,13.73,113.5,553.32,187.33,-51.09,-35.6,-17.79,9.96,25.95,36.55,41.8,5.36,211.55,784,1164.7,300.12,54.3,451.5,859.9,337.5,47,56,70,9,23.43,42.25,71.7,17.76,8.14,16.92,23.03,6.07
"Melexa","Melanohalea_exasperata",0.01,1.61,5.8,12.11,4.24,13.47,18.97,23.69,3.32,-14.72,-6.85,5.61,7.04,13.82,24.5,34.11,8.65,373.45,753,1637.65,430.75,169.35,373.5,562.15,217.75,11.04,19.23,52.15,9,33.84,49.4,110.78,22.97,56,125,236.55,41,18.05,130,413.25,137.25,-43.07,-35.45,-13.32,10.45,31.89,36.4,41.34,3.43,582.33,711,1206.55,160.25,68.18,180.5,703.6,243.12,47.45,57.17,69,8,25.45,56.75,70.55,19.75,11.79,18.39,23.49,3.77
"Melexl","Melanohalea_exasperatula",0.18,-3.56,3.9,10.64,4.88,11.61,16.2,21.11,4.7,-22.13,-6.75,4.1,7.4,14.3,22.5,36.36,6.92,287.9,701,1880.7,405.25,107.3,291,524.2,196,6.01,18.7,45.03,10.6,22.94,53.37,192.95,42,52.1,105,207.9,55.25,31,190,599.6,206.83,-49.82,-37.7,-16.94,10.3,28,34.75,39.4,4.92,315.7,641.33,976,236.5,11.1,227,646,272,48,59,71,8,24.74,51,73,25,10.26,15.09,20.63,5.16
"Melgla","Melanelixia_glabratula",0.05,6.42,12.1,16.02,4.8,18.16,22,24.48,4.5,-2.78,5.15,9.68,7.1,14.28,17.2,21.82,5.2,299.8,525,1171.2,127,22.2,63,300.2,233,22.08,39,83.66,15.4,62.94,338.35,1148.5,511.1,111.2,200,307.4,107,1,26,78.6,47,-33.9,-17.9,-7.9,17.1,35.74,39.55,44.18,3.3,827.4,1133,1415,177.5,371.8,808,1055,333,51.8,56,66.8,6,34.6,45,58.4,5,17.45,21.48,24.4,5.21
"Melhal","Melanohalea_halei",0.01,2.9,5.35,10.83,3.83,16.69,18.3,20.7,1.51,-13.63,-8.2,0.83,6.82,18.65,26.4,31.14,6.27,977.2,1269,1684.04,278,465.23,540,703.34,143.12,9.69,12.3,17.96,2.25,25.33,32.7,41.72,10.9,107.9,123,162.8,28.86,28.5,323.75,467.07,220.5,-40.02,-35.15,-26.93,6.55,32.8,35,36.65,1.73,586.2,677.25,1020.2,170.5,0,25,148.2,94.5,56,61,66,4.97,55.31,59,65.2,5.5,15.9,17.83,20.32,1.7
"Melmul","Melanohalea_multispora",0.01,2.12,7.7,13.51,3.71,13.21,18.15,22.95,4.17,-10.21,-1.74,6.64,5.1,12.48,20.4,24.2,4.05,343.9,714.5,2045.72,636.5,41.95,194.5,533.2,185.5,6.93,24.3,58.94,19.66,30.23,95.55,447.96,136.16,83.9,135,252.4,45.5,7.3,112.5,464.9,196.75,-40.28,-27.2,-11.79,8.3,29.66,37.58,41.75,4.89,399.8,785,1206.8,291.75,43.6,460.38,819.55,391.75,53.15,60,73.85,6,30.3,46,73.85,17,12.03,17,22.67,4.22
"Meloli","Melanohalea_olivacea",0.01,-8.62,3.84,9.66,4.8,11.68,17.7,20.66,4.07,-25.58,-10.4,1.28,8.5,17.14,28.7,38.46,7.32,270,772,1358.4,283.5,151.6,403,607.8,173,3.9,17.75,29.23,7.4,26.59,42.3,87.44,11.78,71.8,120,173.2,25,40.2,175,436,136.25,-52.56,-37.9,-24.82,8.7,26.84,35.1,38.46,5.74,223.2,622,919.2,283.6,13,121.67,405.8,80,54.69,63,71,8,47,63,73,8,10.74,16.87,20.4,4.62
"Melsar","Melanelixia_subargentifera",0.01,3.2,6.7,14.14,4.5,15.88,20.4,24.02,2.8,-14.57,-4.4,5.84,9.6,17.82,24.2,34.22,10.3,376.2,584,1003.6,197.22,60.8,288,489.6,182.67,18.3,28.5,51.38,16.15,41.12,66.9,360.56,49.9,84.65,132.5,215.2,28,5.7,78,288.45,88,-42.66,-35.45,-18.55,8.5,33.56,38.73,42.44,3.7,605.6,815.78,1255.87,263,112.4,406,825.87,320,47.93,56,62.4,7,29,50,63.2,21,14.63,19.66,24.02,2.95
"Melsel","Melanohalea_subelegantula",0.04,-0.47,5.6,11.59,4.35,12.18,17,21.49,3.62,-10.8,-4.1,4.83,5.08,14.97,21.5,27.87,3.05,277.5,746,1499,469.17,78.9,225,413.1,157.5,8.43,21.6,57.18,14.3,32.67,75,257.01,77.78,50.5,110,219.2,63.5,17.7,200,726.45,319,-47.01,-33.5,-14.67,10.68,29.78,36.25,40.03,4.05,424.6,726,1072.6,188,104.4,373,689.2,284.75,47,59,66.9,7,22,41,62.9,18,10.56,16.01,20.69,4.23
"Melsep","Melanohalea_septentrionalis",0.02,-10.01,2.9,7.24,9.82,10.7,16.8,20.34,5.4,-28.5,-13.6,-4.86,14.28,21.63,30.8,41.6,9.22,223.95,746.5,1271.55,441.45,125.6,406.67,559.9,223,-0.24,14.55,23.86,7.97,25.54,42.85,96.2,20.32,67,113.38,143.7,36.96,89.65,164.88,398.4,128.54,-53.63,-41.13,-31.8,11.93,26.14,33.8,38.25,6.34,186.65,553,747.1,337.6,4.55,107,203.05,74.31,55.83,63,71.35,6.55,54.19,64,76.35,6.76,9.72,16.15,20.07,5.6
"Melsol","Melanohalea_subolivacea",0.2,1.4,7.5,15.7,5.6,13.38,19.4,25,5.32,-9.77,-3.05,8.37,7.3,13.8,21.3,27.44,4.65,319.2,575,1299.6,289,35.4,221,397.9,155.5,10.98,31,67.56,20.98,38.67,84.23,686.3,92.2,61.6,129,277.2,64.25,2.3,77,526.7,153.5,-42.74,-33.2,-10.82,11.65,31.53,37.1,42.8,5.13,539.4,877,1360.4,362.5,132.3,505,983.9,334.5,47.68,55,66.4,7,24.8,44.6,63,15.17,12.02,18.5,24.8,5.93
"Melsub","Melanelixia_subaurifera",0.13,1.5,6.3,11.1,3.1,14.87,19.18,22.7,2.8,-14.74,-6.85,0.7,5.92,16.27,25.8,33.72,5.59,465.3,911,1375.25,415,168.75,464.25,591.21,124.79,10.94,17.7,33.64,6.55,29.55,42.2,101.9,12.51,95,134,179.17,25,25.65,146.9,395.67,152.58,-42.62,-33.5,-21.51,6.6,31.82,36.32,39.7,2.55,476.55,707.25,985.12,163,15.18,127.17,450.35,100.2,54,62,71,6,40.1,61,71,9,13.95,18.75,22.61,3.08
"Meltra","Melanohalea_trabeculata",0,-5.95,0,4.1,5.33,12.49,15.3,19.7,3.25,-23.66,-15.1,-8.05,6.97,22.69,32.8,37.9,7.25,261.7,604,981.1,350.9,165.6,367,487,209.5,7.5,18.27,28.91,8.5,25.87,42.7,92.96,23.27,69.9,103,123.03,35.05,89.8,172,443.1,148,-52.83,-43.1,-36.4,7.6,26.9,31.5,37.63,6.5,302.4,419,675.3,233.17,30.7,119.25,264.9,71.5,54.93,60,69.8,7,54.83,61,68.3,8.5,11.33,14.48,19.26,3.58
"Mensub","Menegazzia_subsimilis",0,3.84,7.15,11.34,4.2,15.57,18,20.78,1.85,-11.84,-3.45,5.35,10.78,10.5,21.1,30.6,9.52,741.68,1238.67,2021,595.75,171.3,484.5,762.93,86,9.66,12.9,25.77,2.99,26.6,37.65,107.7,10.03,109.65,142,246.1,51.88,18.18,189,366.45,256.38,-38.39,-29,-12.08,11.11,31.11,35.2,38.06,2.2,593.2,705.5,1052.05,172.62,0,83,380.75,136.5,56.65,64,74,9.33,52,60.75,73.35,7.75,15.08,17.32,20.43,1.96
"Menter","Menegazzia_terebrata",0.02,2.94,6.03,11.8,5.13,13.98,17.7,21.18,2.48,-13.46,-5.33,6,12.82,9.68,23.9,31.06,14.3,765.55,1223,3001.15,879.5,198.25,471.5,686,128.25,6.01,12.8,20.93,5.98,22.39,39.75,85.62,11.2,110.4,137,244.55,68.13,17.4,187.67,553.75,277.75,-39.96,-31.95,-12.02,18.33,30.11,35.3,37.75,2.29,444.35,678.5,1046.7,128.62,0,109,354.15,122.15,58,64,74.38,8,52,63,74,7.58,13.24,17.21,20.78,2.71
"Myeaur","Myelochroa_aurulenta",0.11,4.1,11.5,19.22,7.85,18.3,23.5,27.79,5.65,-12.5,-1.3,9.82,10.73,17.55,25.1,31.97,6.82,755.13,1114,1508.1,354.75,409.2,519,650.7,79.5,13.41,20,23.87,3.09,33.63,44.6,54.47,8.1,119.75,172,272.7,55.38,0.55,32,288.3,108.5,-39.19,-27.7,-15.4,10.55,35.16,39.2,41.8,3.6,640.12,981.5,1451.4,458,50.3,171,370.85,119.67,56.9,61,65.62,3.17,55.05,63,68,5.29,17.76,23.45,29.8,7.1
"Myegal","Myelochroa_galbina",0.06,3.39,8.6,16.78,7.84,17.64,21.8,27.16,6.1,-13.71,-4.6,6.16,11.02,19.5,26.2,33.1,6,733.17,1074,1453.4,366,411,502.33,627.3,72.4,12.8,19.7,22.83,4.1,34.34,43.8,54.36,7.3,115.2,153,222.2,54.5,2,88,337,144,-41,-31.1,-19.86,10.51,34.55,38.4,41.8,4.27,596.4,831,1282.4,455,39.4,145,306.1,105,56.41,60.2,66.73,3.93,56,62,68,5.17,17.12,21.64,28.63,6.69
"Myemet","Myelochroa_metarevoluta",0,7.75,11.4,15.27,6.79,17.07,20.25,23.69,0.78,-4.93,1.75,11.62,10.2,5.69,20.05,24.77,7.84,885.9,1072.5,1636.05,340.25,482.7,596.5,790.65,123.62,13.53,17.63,27.37,3.56,22.38,35.23,43.42,9.38,136.68,166,278.85,63.25,2,22,128.26,110.42,-31.48,-26.1,-14.74,10.24,29.95,36.15,39.22,2.05,834.77,1074,1553.2,446.75,28.7,155.58,792.3,220.62,50.85,60,62.65,1.75,53.58,59.83,61.65,3.75,16.38,19.89,23.73,0.79
"Nepbel","Nephroma_bellum",0.03,-5.77,3.9,9.94,4.16,10.5,15.06,20.1,4.72,-23.23,-7.53,2.96,9.93,12.07,22.7,36.61,12.51,416.31,927.1,3420.97,943.38,204.25,424.5,1020.15,179.25,4.13,12.3,26.3,9.74,11.95,39.05,73.35,20.35,62.38,119.33,186.74,38.98,65.7,277.5,738.36,239.6,-48.68,-35.69,-17.65,12.67,26,32.35,37.6,6.29,229.25,535.5,846.4,299.45,0,86.5,362.96,151.5,53.85,65,78.67,10.15,39.83,63.75,79.67,15,9.61,14.13,19.59,4.92
"Nephel","Nephroma_helveticum",0.03,-3.4,6.57,15.68,6.83,12.61,18.2,26.07,4.9,-20.95,-3.4,6.68,12.55,11.88,21.52,35.94,11.34,427.3,1171.67,3107.72,833.29,123.2,464.45,920.6,240.46,4.93,15.65,32.82,8.82,13.99,41.8,171.83,21.91,82,140.5,252.2,63.32,3,160,684.8,256,-48.48,-29.67,-14.31,15.19,28.21,35.68,41.28,5.84,337.45,674.5,1286.79,410.75,0,131,657.32,218.12,54,62,78.92,8.69,38.67,61.57,77,10.12,11.91,17.57,26.91,5.22
"Nepisi","Nephroma_isidiosum",0.01,-9.46,2.7,5.28,5.12,9.25,13.35,15.67,2.46,-24.2,-7.55,-1.6,8.45,14.93,22.17,35.92,9.1,274.8,991.5,3414.1,1578.59,144.65,394,1167.45,462.88,1.49,7.37,27.51,10.63,8.84,34.15,80.67,33.6,59.15,106,145.85,43.5,141.05,366,1564.53,434.5,-55.17,-37.85,-25.82,12.1,25.43,29.2,33.67,3.1,177.9,376.5,559.5,120.12,0,61,253.9,128.25,60.1,67.5,76.85,9.25,48.15,67.5,77.85,10.19,8.02,12.61,14.61,2.35
"Neplae","Nephroma_laevigatum",0.01,3.76,7.7,11.9,3.97,13.33,16.23,20.01,3.02,-11.05,1.05,8.1,9.33,7.56,14.7,28.38,10.84,738.38,1447.5,2994,971.65,97.5,425,793,264.22,5.7,11.6,24.53,7.88,16.64,40.73,153.8,34.28,112.25,166,272,83.86,10.5,159.5,489.25,237.81,-37.62,-21.1,-9.65,16.54,29.5,34.12,39.02,4.05,416.5,646,930.25,246.25,0,110.5,483.88,239.38,56.75,70,80.52,9.62,47.94,67,79.25,14.08,12.48,15.65,19.65,3.11
"Nepocc","Nephroma_occultum",0,2.61,4.45,10.27,3.6,11.64,15.4,17.9,2.7,-8.35,-3.9,3.54,7.5,13.42,17.35,23.84,5.8,744.15,1731,3359.8,1197.5,251,440,1106.8,199.5,4.48,10.3,17.99,5.6,10.48,36.9,68.34,14.1,89.2,126,182.2,37,77.6,355,1157.2,226,-37.22,-30.4,-17.69,10.8,28.14,31.9,38.31,3.5,334.6,530,872,225,0,68,346.2,196.2,61,68,76.2,6.25,43.47,64,75.6,19.3,10.58,14.59,16.98,2.95
"Neppar","Nephroma_parile",0.02,-6.21,4.33,10.55,4.85,10.54,16,20.66,5.19,-24.07,-7.22,2.7,8.87,14.24,22.57,37.23,9.33,312.8,827.83,2701.88,540,154,361.1,807.3,210.75,4.29,14.95,33.45,9.95,16.24,43.69,118.37,24.28,55.15,116.78,178.43,47.15,35.8,243.72,728,240.92,-51.8,-36.2,-19.73,11.23,26.3,34.15,38.87,6.4,237.72,615.89,1024.1,307.84,0,141.25,571.52,222.45,50.79,63,76,8.88,29,60,76.78,19.88,9.24,15.1,20.31,5.55
"Nepres","Nephroma_resupinatum",0.03,-1.57,6,11.99,5.5,12.3,16.7,20.7,4,-17.07,-3.2,6.78,12.47,9.7,20.08,33.58,12.43,453.7,1127,2777.9,1041.03,97.14,353.25,833.45,251.56,5.8,13.53,27.94,9.34,16.38,46.05,201.43,36.94,83.39,130.5,254.9,62.12,19,205,797.68,284.62,-46.68,-29.6,-10.92,17.93,28.11,34.97,40.25,5.17,352.05,655,1055.5,272.86,0,156.97,630.4,263.75,56,63.5,77,8.53,38.42,60,76,15.76,11.52,15.85,20.41,3.93
"Niecep","Niebla_cephalota",0,9.9,15.49,22.72,7.97,14.38,19.6,28.72,9.8,4.38,12.59,18.22,6.8,5.04,9.2,13.34,4.75,82.7,394.25,1935.6,501.33,8.4,24.57,220.4,56.58,11.1,68.6,379.74,235.78,71.69,740.96,3026.9,1135.5,236,347,365,55,0,0.36,20,4.5,-13.88,-3.41,7.46,10.95,32.09,38.5,48.2,12.54,698.6,1025.08,1826.2,768,260.93,744.86,1710.6,1068,53,67.18,74.6,13.67,54.4,68,79,16.67,13.97,18.65,30.56,10.38
"Nodabb","Nodobryoria_abbreviata",0.11,2.19,6.11,14.01,4.45,13.14,17,22.52,3.95,-7.41,-3.1,7.63,5.78,13.29,20.53,23.51,4.24,379,750.17,1919.8,494.58,36.4,187,378.9,163.86,8.25,20.76,52.45,15.09,39.95,92.5,613.7,110.1,62.45,119.33,270.6,55.75,8.8,195.55,686.67,286,-39.61,-30.6,-10.77,10.26,32.14,36.45,41.4,3.39,527.95,735,1167.1,266.38,161.25,401.5,789.1,304,50.3,60,69,7,25.98,40.67,59,14.1,11.74,15.81,22.08,4.38
"Nodore","Nodobryoria_oregana",0.05,1.64,6.35,12.15,3.95,12.16,16.98,22.16,4.18,-8.01,-1.77,5.13,5.89,13.62,17.85,22.45,5.05,353,1257,2692.62,1029.25,72,244.25,521.8,202.58,5.66,13.1,52.78,10.28,24.11,66.62,290.2,95.52,76.8,134.4,235.25,62.66,15.3,239.5,836.05,448.57,-38.7,-27.34,-13.88,9.85,30.57,36,40.45,4.62,458.75,705,1102.9,267.75,30.25,305.5,716.4,310.8,55,64,73,8.75,31.45,49.38,64.28,13.77,10.71,15.78,21.99,4.46
"Panahl","Fuscopannaria_ahlneri",0,-0.52,3.7,6.12,3.2,11.98,14.2,19.08,3.75,-13.66,-8.7,-1.76,5.5,15.42,23,30.04,6.12,457.2,1147,3390.8,642.5,246.8,473,1188.8,358,4.12,11.95,26.32,5.7,8.88,34.3,60.7,18.1,43.8,117,148,51,121.6,377,943.4,303,-44.04,-37.7,-26.32,9.9,27.76,31.9,36.42,5.2,337.2,535,686.6,259,0,61,271.4,189,52.4,65,76,12,24.8,65,75,18,11.18,12.73,18.51,4.22
"Pancon","Pannaria_conoplea",0,-6.25,4.8,16.38,4.29,12.47,18.2,23.88,3.61,-24.03,-10.4,6.99,11.42,12.67,28.5,37.25,11,301.8,774,1370.7,411.5,119.7,427,572.9,146,8.15,17.77,54.48,9.48,29.6,40.4,105.04,14.8,72.2,120,222.8,27.5,2,169,451.2,210.42,-49.65,-37.4,-17.24,10.31,27.51,35.6,41.61,2.98,248,658,1386.3,263.25,39.1,126,785,232.5,52,59,72,7,35.1,61.2,75.9,9.58,11.3,17.43,23.82,3.74
"Panled","Fuscopannaria_leucostictoides",0.01,3.91,7.8,14.73,5.3,12.5,15.55,21.8,4.86,-3.76,1,9.1,7.45,7.63,14.1,21.34,3.97,483.6,2132.25,3772.3,1880.75,35.25,411.5,1200.7,506.75,4.21,7.88,41.54,12.9,10.35,47.67,585.06,119.64,119.72,169,315.57,99.5,3,194.75,887.12,444.5,-30.91,-21.05,-7.19,13.47,28.77,34,41.84,7.68,368.05,677,1176.1,445,0,155.5,780.25,429.75,57.35,71.25,78.65,12.25,36.45,65,78,19,11.84,14.83,21.19,4.49
"Panleu","Fuscopannaria_leucosticta",0,3.3,12.55,19.52,10.1,14.85,22.22,27.5,7.44,-13.51,2.72,10.43,11.92,12.2,21,32.2,5.9,691.4,1298.5,1668.9,333,124.6,528,792.85,148.5,11.31,17.75,24.32,5.12,30.35,41.2,168.56,12.07,107.7,182,294.1,85,0,16,416.5,141.04,-40.54,-23.6,-12.26,12.8,30.14,38.2,41.6,4.12,545.57,1091.67,1462,556.33,10.9,156,629,164.92,54.9,61,74,4.5,40.8,63,74.2,7,13.75,21.74,29.43,9.11
"Panmed","Fuscopannaria_mediterranea",0,4.28,11.53,13.88,1.6,15.58,19.7,23.34,4.65,-5.94,3.6,5.16,1.6,13.42,17.4,21.48,3.7,608,766,2061.6,953,146.6,275,326,159,10.62,22.1,34.28,19,52.08,83.9,142.44,66.07,90.4,190,233.8,56,8.4,59,226.4,47,-35.08,-18.9,-13.2,7.65,33.6,38,40.1,4.4,597,1015,1290.6,420.5,224.4,549,693,246,52.2,59,70.2,6,33.6,55.67,62.6,16,14.31,18.8,23.11,4.48
"Panpac","Fuscopannaria_pacifica",0.01,5.05,10.03,12.1,3.76,13.36,18.15,21.72,4.03,-2.32,3.73,7.25,4.53,9.62,15.25,21.57,2.74,879.25,1875,3487.5,1240.38,95,270.83,809.25,292.25,4.8,10.75,21.68,8.68,16.79,72.3,210,78.98,130.5,189,257,52.33,12.75,79.5,523.38,244.25,-27.98,-17.53,-10.87,7.39,29.69,37.35,41.15,6.09,425.5,862.5,1104.25,294.29,0,373.5,681.12,359.88,57.75,65.5,76.62,11.83,38.83,54.5,74.75,21.71,12.69,17.41,20.92,3.72
"Panrub","Pannaria_rubiginosa",0,3.09,10.23,20.81,9.82,14.38,19.1,27.51,4.73,-13.28,2.6,13.72,16.45,3.6,19.25,30.8,14.34,544.9,1200,2056.45,606.75,208.4,497.5,950.85,174.25,9.39,17.3,46.53,10.94,19.16,38.55,109.52,10.17,107.98,170.88,335.4,114.25,0,24.42,381.94,272.75,-39.3,-24.85,-5,19.88,29.79,35.63,41.02,4.12,515.65,989.5,1688.5,736.03,0,169,981.6,458.25,47,61,74.2,8,49.8,62,76.05,8.12,13.79,18.66,29.81,5.23
"Pantav","Pannaria_tavaresii",0,3.3,12.7,19.12,7.71,14.64,20.52,27.81,7.79,-6.68,4.1,12.07,10.63,3.69,18.8,24.51,3.85,360.7,759,1704.33,739.5,188,461,930.35,277.88,13.18,25.35,59.85,14.77,16.44,48.6,111.02,20.58,74.7,188,308,102.38,0,8,227.9,50.5,-40.52,-22,-10.79,14.31,30.38,37.02,41.75,5.19,672,1234,1552.2,441.38,72.7,440.9,1051.07,413.66,45.15,58,65,10.17,27.05,58,67.1,16.74,13.18,20.03,29.89,8.86
"Parbar","Parmelia_barrenoae",0,4.74,8.75,13.92,2.9,16.5,19.5,21.34,2.1,-5.12,-1.1,9.64,5.4,12.34,20.2,21.98,4.85,435,683,1053.1,327,34.9,123,333.2,150.5,16.64,27.4,58.08,12.2,52.02,166.3,667.47,186.8,101.4,148,291,13,3.3,92.5,290.2,92,-33.44,-26.1,-9.2,4.9,35.7,38.3,40.86,2.5,687.4,856,1213.3,272.5,245.6,575,834,343,54,60.5,64,5.5,31.6,45,59.8,12,15.12,18.77,20.66,2.28
"Parfer","Parmelia_fertilis",0,2.55,5.37,6.08,1.91,16.38,18.34,18.98,0.67,-13.49,-8.7,-6.34,3.68,24.53,26.63,31.23,4.05,1066.5,1175,1495.1,106,447.83,480.86,650.85,27.33,8.96,12.93,13.84,1.3,25.8,38.17,41.64,5,111.65,124.14,135.3,10.12,305.73,344,563.35,55.96,-39.51,-34.9,-31.55,4.42,31.86,34.86,36.53,1.14,540,628,689,54.79,0,79.14,111.2,60,58.7,63.5,69.5,2.79,60.25,65,70,4.27,15.73,17.87,18.63,0.71
"Parhyg","Parmelia_hygrophila",0.1,0.72,6.65,12.4,4.63,12.62,16.43,21.93,4.1,-9.95,-1.17,6.52,7.62,10.42,17.95,24.08,6.2,410.75,1115,3199.5,1238.31,82,257.25,991.25,216.12,4.82,14.8,43,13.95,12.62,65.7,252.19,78.92,76.5,141.5,254.25,66.75,16,202,747,326.5,-40.9,-26,-11.62,13.21,28.29,35.45,41.27,5.91,342.45,703,1091.75,294.83,0,297,669,331,54,64,78,10.72,33,52,78,21.94,11.63,15.58,21.35,4.24
"Parpse","Parmelia_pseudosulcata",0.02,3.7,6.5,11.1,3.04,13.14,14.9,18.98,2.4,-5.44,-0.5,6.7,3.9,8.48,15.2,21.78,1.83,563.2,2048,3380,1047,170.3,405.5,1113,385.5,4.81,8,26.9,5.5,12.52,38.2,112.1,35.8,91,154,251.6,37,21.2,333,678.8,372.5,-35.5,-24.2,-11.26,7.5,29.06,32.9,39.16,4.87,348,594,909.4,318.5,0,117,456.1,250,59.8,72,78.6,7,44.8,67,78,18.5,12.44,13.99,18.34,2.73
"Parsax","Parmelia_saxatilis",0.04,-10.28,5.48,12.66,6.9,9.3,15.9,22.5,5.9,-28.94,-4.6,5.3,12.26,11.57,22.1,40.14,12,258.2,1010,3170.48,739,94.6,397.67,949.2,313,-0.88,13.3,33.19,10.15,14.25,42.5,185.39,36.35,54.2,131,232.4,68.5,13.2,182,637.2,244,-51.82,-31.4,-13.44,15.64,25.56,33.8,39.7,6.8,182.6,618,1117,428,0,99,584.2,221.2,54,65,79,10.33,35.4,64,80,15.67,8.19,15.19,22.35,6.18
